time,s,i
3.42,6.273381076325857e-08,0.49704476817796234
3.43,5.995705589787634e-08,0.4956615680456726
3.44,5.84038386404055e-08,0.494852022856324
3.45,5.668401980759156e-08,0.4939318052930176
3.46,5.376252914213855e-08,0.49232118526283153
3.47,5.225647608301647e-08,0.4914457785831362
3.48,5.042637559361043e-08,0.4903513583514987
3.49,4.839750388942888e-08,0.4890940374018832
3.5,4.66141199715474e-08,0.48794251807456845
3.5100000000000002,4.475607358544876e-08,0.4866968898617045
3.52,4.2656078940621525e-08,0.48523061426140984
3.5300000000000002,4.120553017838934e-08,0.48416793836454336
3.54,3.9219448112296464e-08,0.4826617089225451
3.5500000000000003,3.750317212279827e-08,0.4812941843921934
3.56,3.600642644573495e-08,0.4800470033238196
3.5700000000000003,3.428993536339267e-08,0.47855726135791454
3.58,3.278543679200031e-08,0.4771861439070183
3.59,3.1974060120647924e-08,0.4764127671623592
3.6,3.1163379117930456e-08,0.47562044503252754
3.61,2.982294025318097e-08,0.47427628166076036
3.62,2.8351665748330508e-08,0.4727346065607024
3.63,2.7131014239264822e-08,0.4713891715026919
3.64,2.6748313499110746e-08,0.4709483701510989
3.65,2.586293458163765e-08,0.46991398465649337
3.66,2.4992716199316576e-08,0.4688625068415806
3.67,2.4020312110991217e-08,0.46764664846049037
3.68,2.3089418787968228e-08,0.46643557368970046
3.69,2.2310903250307655e-08,0.4653819052193144
3.7,2.1559323093067327e-08,0.46432919736245054
3.71,2.0702093566672654e-08,0.463086653517131
3.72,2.0001009892274808e-08,0.46202836198538455
3.73,1.9206543370189057e-08,0.4607870715176149
3.74,1.833148207179291e-08,0.4593633041982741
3.75,1.7852287997980024e-08,0.4585464141092094
3.7600000000000002,1.7002002874716733e-08,0.4570580113383461
3.77,1.630680835498766e-08,0.455780231474296
3.7800000000000002,1.5834346370902826e-08,0.4548748164490567
3.79,1.5051988071018052e-08,0.4533307877969998
3.8000000000000003,1.4503915092770347e-08,0.45219291336872874
3.81,1.3757952386929811e-08,0.4505856698355839
3.8200000000000003,1.309865271516363e-08,0.44908812826161737
3.83,1.252687870574921e-08,0.44772402382330007
3.84,1.2091649592468662e-08,0.44663828613417306
3.85,1.1660756107025921e-08,0.4455246732969089
3.86,1.1203196364521232e-08,0.4442984460706004
3.87,1.0701469040521176e-08,0.442898937149762
3.88,1.030414259997072e-08,0.4417386808365203
3.89,1.001778733689921e-08,0.44087023409934445
3.9,9.567114924906629e-09,0.43946438389646053
3.91,9.144452964316801e-09,0.43808380235976435
3.92,8.629976005956198e-09,0.43632564358231807
3.93,8.258800957169872e-09,0.4349815822473462
3.94,7.9324082057607e-09,0.4337465638907082
3.95,7.61852399733197e-09,0.43251000637007825
3.96,7.36853253924e-09,0.43148458055747413
3.97,7.129864814320001e-09,0.4304723892418491
3.98,6.852013667547405e-09,0.4292545756392457
3.99,6.5861129619087595e-09,0.4280418817316711
